Date : 2025-02-16 17:43:33
Directory : d:\Desktop\C++\OpenGL\Engine
Total : 380 files,  32539 codes, 14022 comments, 6066 blanks, all 52627 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Desktop\C++\OpenGL\Engine\Engine\FrameBuffer\RegularFBO.cpp                            | C++      |         24 |          0 |          5 |         29 |
| d:\Desktop\C++\OpenGL\Engine\Engine\FrameBuffer\ScreenFBO.cpp                             | C++      |         32 |          0 |          6 |         38 |
| d:\Desktop\C++\OpenGL\Engine\Engine\FrameBuffer\SingleColorAttachmentFBO.cpp              | C++      |         30 |          0 |          6 |         36 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Lights\DirectionalLight.cpp                           | C++      |         67 |          0 |          9 |         76 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Lights\Light.cpp                                      | C++      |         47 |          0 |          8 |         55 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Lights\LightArray.cpp                                 | C++      |         72 |          0 |         15 |         87 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Lights\PointLight.cpp                                 | C++      |        110 |          0 |         10 |        120 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Lights\SpotLight.cpp                                  | C++      |         23 |          0 |          6 |         29 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Managers\ControlManager.cpp                           | C++      |         79 |          0 |         11 |         90 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Managers\ModelManager.cpp                             | C++      |         93 |          0 |          8 |        101 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Managers\SceneManager.cpp                             | C++      |         95 |        131 |         25 |        251 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Managers\ShaderManager.cpp                            | C++      |        215 |          0 |         10 |        225 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Managers\TextureManager.cpp                           | C++      |         84 |          0 |          7 |         91 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Managers\UniformManager.cpp                           | C++      |         38 |          0 |          9 |         47 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Material\IBLMaterial.cpp                              | C++      |         25 |          0 |          7 |         32 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Material\Material.cpp                                 | C++      |         71 |          0 |          6 |         77 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Material\MaterialController.cpp                       | C++      |        254 |          3 |         24 |        281 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Material\PBRMaterial.cpp                              | C++      |         42 |          0 |          8 |         50 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Material\PhongMaterial.cpp                            | C++      |         31 |          0 |          7 |         38 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Material\UserCustomMaterial.cpp                       | C++      |         17 |          0 |          6 |         23 |
| d:\Desktop\C++\OpenGL\Engine\Engine\ShaderToys\ShaderToy.cpp                              | C++      |         71 |          0 |          5 |         76 |
| d:\Desktop\C++\OpenGL\Engine\Engine\ShaderToys\ShaderToyBuffer.cpp                        | C++      |         64 |          0 |         10 |         74 |
| d:\Desktop\C++\OpenGL\Engine\Engine\ShaderToys\ShaderToyManager.cpp                       | C++      |         36 |          0 |          7 |         43 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Texture\NativeTextureWrapper.cpp                      | C++      |        141 |          0 |         20 |        161 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Texture\TextureWrapper.cpp                            | C++      |         92 |          0 |         15 |        107 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Uniform\Uniform.cpp                                   | C++      |         23 |          0 |          6 |         29 |
| d:\Desktop\C++\OpenGL\Engine\Engine\core\AttributeInfo.cpp                                | C++      |         45 |          0 |         12 |         57 |
| d:\Desktop\C++\OpenGL\Engine\Engine\core\DrawableObject3D.cpp                             | C++      |         43 |          0 |         10 |         53 |
| d:\Desktop\C++\OpenGL\Engine\Engine\core\Geometry.cpp                                     | C++      |        153 |         10 |         15 |        178 |
| d:\Desktop\C++\OpenGL\Engine\Engine\core\Mesh.cpp                                         | C++      |        104 |          0 |         20 |        124 |
| d:\Desktop\C++\OpenGL\Engine\Engine\core\Model.cpp                                        | C++      |        113 |          1 |         19 |        133 |
| d:\Desktop\C++\OpenGL\Engine\Engine\core\Obejct3D.cpp                                     | C++      |        261 |         10 |         50 |        321 |
| d:\Desktop\C++\OpenGL\Engine\Engine\core\Scene.cpp                                        | C++      |        119 |          6 |         15 |        140 |
| d:\Desktop\C++\OpenGL\Engine\Engine\core\SignalSender.cpp                                 | C++      |          9 |          0 |          3 |         12 |
| d:\Desktop\C++\OpenGL\Engine\Engine\core\Skeleton.cpp                                     | C++      |         34 |          0 |          7 |         41 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Animation.h                                   | C++      |         28 |          0 |          2 |         30 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\AnimationPlayer.h                             | C++      |         26 |          0 |          2 |         28 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\ArrayUniform.h                                | C++      |         55 |          0 |          6 |         61 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\AssimpLoader.h                                | C++      |         28 |          0 |          2 |         30 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\AttributeInfo.h                               | C++      |         61 |          0 |          5 |         66 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Bloomer.h                                     | C++      |         36 |          0 |          2 |         38 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Camera.h                                      | C++      |         27 |          0 |          2 |         29 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\CameraController.h                            | C++      |         30 |          0 |          2 |         32 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Color.h                                       | C++      |          5 |          0 |          2 |          7 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Constants.h                                   | C++      |         80 |          6 |          3 |         89 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\ControlManager.h                              | C++      |         37 |          0 |          2 |         39 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Define.h                                      | C++      |        133 |          0 |         17 |        150 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\DepthCubeMapFBO.h                             | C++      |         19 |          0 |          3 |         22 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\DepthMapFBO.h                                 | C++      |         19 |          0 |          2 |         21 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\DirectionalLight.h                            | C++      |         27 |          0 |          2 |         29 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\DrawableObject3D.h                            | C++      |         26 |          0 |          3 |         29 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Environment.cpp                               | C++      |        119 |         24 |         13 |        156 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Environment.h                                 | C++      |         24 |          0 |          1 |         25 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\FrameBufferObject.h                           | C++      |         56 |          0 |          2 |         58 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\GLBuffer.h                                    | C++      |          5 |          0 |          2 |          7 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\GLFrameBufferObject.h                         | C++      |          8 |          0 |          4 |         12 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\GLFunctions.cpp                               | C++      |          6 |          0 |          1 |          7 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\GLFunctions.h                                 | C++      |          8 |          0 |          2 |         10 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\GLHelper.h                                    | C++      |         38 |          0 |         10 |         48 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\GLShaderProgram.h                             | C++      |         32 |          0 |          4 |         36 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\GLTexture.h                                   | C++      |          8 |          0 |          6 |         14 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\GLVAO.h                                       | C++      |          5 |          0 |          2 |          7 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\GameController.h                              | C++      |         30 |          0 |          2 |         32 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Geometry.h                                    | C++      |         72 |          3 |          5 |         80 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\GlobalCamera.h                                | C++      |         29 |          0 |          2 |         31 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\IBLMaterial.h                                 | C++      |         21 |          0 |          3 |         24 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Image.h                                       | C++      |         23 |          0 |          5 |         28 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\InstanceHelper.h                              | C++      |         26 |          0 |          2 |         28 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\KeyFrame.h                                    | C++      |         27 |          0 |          5 |         32 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\KeyFrameTrack.h                               | C++      |         70 |          0 |          3 |         73 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\LImage.cpp                                    | C++      |         86 |          0 |         15 |        101 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\LImage.h                                      | C++      |         30 |          0 |          1 |         31 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Light.h                                       | C++      |         33 |          0 |          2 |         35 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\LightArray.h                                  | C++      |         37 |          0 |          2 |         39 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\MSAAFBO.h                                     | C++      |         24 |          0 |          2 |         26 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Material.h                                    | C++      |         25 |          0 |          3 |         28 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\MaterialController.h                          | C++      |         51 |          0 |          2 |         53 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Matrix.h                                      | C++      |         35 |          0 |          9 |         44 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Mesh.h                                        | C++      |         49 |          0 |          2 |         51 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Model.h                                       | C++      |         50 |          0 |          2 |         52 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\ModelManager.h                                | C++      |         27 |          0 |          3 |         30 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\NativeTextureWrapper.h                        | C++      |         40 |          0 |          2 |         42 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Object3D.h                                    | C++      |         83 |          2 |          6 |         91 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\PBRMaterial.h                                 | C++      |         23 |          0 |          3 |         26 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\PhongMaterial.h                               | C++      |         22 |          0 |          3 |         25 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\PointLight.h                                  | C++      |         32 |         14 |          2 |         48 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\ProjectionProvider.h                          | C++      |         29 |          0 |          2 |         31 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\RegularFBO.h                                  | C++      |         25 |          0 |          2 |         27 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Renderer.h                                    | C++      |         53 |          0 |          2 |         55 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Scene.h                                       | C++      |         46 |          0 |          2 |         48 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\SceneManager.h                                | C++      |         25 |          0 |          2 |         27 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\ScreenFBO.h                                   | C++      |         22 |          0 |          2 |         24 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\ShaderManager.h                               | C++      |         56 |          0 |          2 |         58 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\ShaderStorageBufferObject.h                   | C++      |          7 |          0 |          1 |          8 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\ShaderToy.h                                   | C++      |         33 |          0 |          3 |         36 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\ShaderToyBuffer.h                             | C++      |         26 |          0 |          2 |         28 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\ShaderToyManager.h                            | C++      |         23 |          0 |          2 |         25 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\SignalSender.h                                | C++      |         16 |          0 |          3 |         19 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\SingleColorAttachmentFBO.h                    | C++      |         23 |          0 |          2 |         25 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\SingleUniform.h                               | C++      |         80 |          0 |         12 |         92 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Skeleton.h                                    | C++      |         22 |          0 |          2 |         24 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\SpotLight.h                                   | C++      |         19 |          0 |          2 |         21 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\TextureDispatcher.h                           | C++      |         17 |          0 |          2 |         19 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\TextureManager.h                              | C++      |         37 |          0 |          4 |         41 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\TextureWrapper.h                              | C++      |         31 |          0 |          3 |         34 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\TrackballController.h                         | C++      |         21 |          0 |          2 |         23 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\Uniform.h                                     | C++      |         17 |          0 |          3 |         20 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\UniformBufferObject.h                         | C++      |         26 |          0 |          1 |         27 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\UniformManager.h                              | C++      |         31 |          0 |          3 |         34 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\UserCustomMaterial.h                          | C++      |         22 |          0 |          3 |         25 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\AssertHandler.h                        | C++      |         11 |         58 |         11 |         80 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Base64.hpp                             | C++      |         18 |         62 |         13 |         93 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\BaseImporter.h                         | C++      |        129 |        245 |         39 |        413 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Bitmap.h                               | C++      |         62 |         55 |         17 |        134 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\BlobIOSystem.h                         | C++      |        179 |         87 |         58 |        324 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\ByteSwapper.h                          | C++      |        173 |         81 |         37 |        291 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\ColladaMetaData.h                      | C++      |          9 |         43 |          5 |         57 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Compiler\poppack1.h                    | C++      |          8 |         10 |          5 |         23 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Compiler\pstdint.h                     | C++      |        597 |        259 |         57 |        913 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Compiler\pushpack1.h                   | C++      |         19 |         18 |          7 |         44 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\CreateAnimMesh.h                       | C++      |         16 |         53 |          9 |         78 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\DefaultIOStream.h                      | C++      |         47 |         72 |         21 |        140 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\DefaultIOSystem.h                      | C++      |         21 |         64 |         15 |        100 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\DefaultLogger.hpp                      | C++      |         56 |        118 |         32 |        206 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Exceptional.h                          | C++      |         92 |         71 |         20 |        183 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Exporter.hpp                           | C++      |        117 |        331 |         62 |        510 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\GenericProperty.h                      | C++      |         70 |         46 |         18 |        134 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\GltfMaterial.h                         | C++      |         22 |         44 |          9 |         75 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Hash.h                                 | C++      |         56 |         55 |         13 |        124 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\IOStream.hpp                           | C++      |         35 |         81 |         16 |        132 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\IOStreamBuffer.h                       | C++      |        216 |         77 |         55 |        348 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\IOSystem.hpp                           | C++      |        108 |        179 |         47 |        334 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Importer.hpp                           | C++      |        113 |        503 |         68 |        684 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\LineSplitter.h                         | C++      |        146 |         87 |         46 |        279 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\LogAux.h                               | C++      |         53 |         51 |         14 |        118 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\LogStream.hpp                          | C++      |         27 |         67 |         15 |        109 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Logger.hpp                             | C++      |        101 |        158 |         45 |        304 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\MathFunctions.h                        | C++      |         39 |         56 |         11 |        106 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\MemoryIOWrapper.h                      | C++      |        136 |         68 |         36 |        240 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\NullLogger.hpp                         | C++      |         38 |         56 |         16 |        110 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\ObjMaterial.h                          | C++      |         14 |         55 |         16 |         85 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\ParsingUtils.h                         | C++      |        148 |         86 |         38 |        272 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Profiler.h                             | C++      |         35 |         50 |         17 |        102 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\ProgressHandler.hpp                    | C++      |         33 |         99 |         15 |        147 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\RemoveComments.h                       | C++      |         19 |         65 |         10 |         94 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\SGSpatialSort.h                        | C++      |         48 |         86 |         19 |        153 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\SceneCombiner.h                        | C++      |        129 |        208 |         49 |        386 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\SkeletonMeshBuilder.h                  | C++      |         37 |         74 |         18 |        129 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\SmallVector.h                          | C++      |         74 |         66 |         25 |        165 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\SmoothingGroups.h                      | C++      |         33 |         65 |         17 |        115 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\SmoothingGroups.inl                    | C++      |         78 |         46 |         18 |        142 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\SpatialSort.h                          | C++      |         53 |        114 |         24 |        191 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\StandardShapes.h                       | C++      |         45 |        131 |         31 |        207 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\StreamReader.h                         | C++      |        167 |        132 |         46 |        345 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\StreamWriter.h                         | C++      |        146 |        114 |         45 |        305 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\StringComparison.h                     | C++      |         90 |        105 |         29 |        224 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\StringUtils.h                          | C++      |        130 |        128 |         32 |        290 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Subdivision.h                          | C++      |         29 |         85 |         18 |        132 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\TinyFormatter.h                        | C++      |         82 |         74 |         26 |        182 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\Vertex.h                               | C++      |        193 |         77 |         52 |        322 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\XMLTools.h                             | C++      |         39 |         43 |          7 |         89 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\XmlParser.h                            | C++      |        345 |        167 |        111 |        623 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\ZipArchiveIOSystem.h                   | C++      |         30 |         50 |         14 |         94 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\aabb.h                                 | C++      |         17 |         49 |         10 |         76 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\ai_assert.h                            | C++      |         17 |         48 |         10 |         75 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\anim.h                                 | C++      |        269 |        208 |        101 |        578 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\camera.h                               | C++      |         57 |        152 |         26 |        235 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\cexport.h                              | C++      |         59 |        187 |         28 |        274 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\cfileio.h                              | C++      |         39 |         83 |         20 |        142 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\cimport.h                              | C++      |        332 |        796 |        117 |      1,245 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\color4.h                               | C++      |         35 |         52 |         15 |        102 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\color4.inl                             | C++      |        172 |         66 |         12 |        250 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\commonMetaData.h                       | C++      |         11 |         51 |          8 |         70 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\config.h                               | C++      |        224 |        834 |        130 |      1,188 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\defs.h                                 | C++      |        166 |        173 |         33 |        372 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\fast_atof.h                            | C++      |        253 |         68 |         58 |        379 |
